"日時","仮想ｷｰｺｰﾄﾞ","ｽｷｬﾝｺｰﾄﾞ","拡張ｷｰﾌﾗｸﾞ","ｲﾍﾞﾝﾄ挿入ﾌﾗｸﾞ","ｺﾝﾃｷｽﾄｺｰﾄﾞ","遷移状態ﾌﾗｸﾞ","ﾀｲﾑｽﾀﾝﾌﾟ","追加情報","仮想ｷｰｺｰﾄﾞ定数","キー"
"08/31 18:22:39.380","0x21","0x49","True","False","False","False","393500","0","VK_PRIOR","PageUpキー"
"08/31 18:22:39.442","0x21","0x49","True","False","False","True","393562","0","VK_PRIOR","PageUpキー"
"08/31 18:22:39.804","0x26","0x48","True","False","False","False","393921","0","VK_UP","↑キー"
"08/31 18:22:39.874","0x26","0x48","True","False","False","True","393984","0","VK_UP","↑キー"
"08/31 18:22:40.152","0x22","0x51","True","False","False","False","394265","0","VK_NEXT","PageDownキー"
"08/31 18:22:40.224","0x22","0x51","True","False","False","True","394343","0","VK_NEXT","PageDownキー"
"08/31 18:22:40.630","0x25","0x4B","True","False","False","False","394750","0","VK_LEFT","←キー"
"08/31 18:22:40.708","0x25","0x4B","True","False","False","True","394828","0","VK_LEFT","←キー"
"08/31 18:22:40.978","0x28","0x50","True","False","False","False","395093","0","VK_DOWN","↓キー"
"08/31 18:22:41.049","0x28","0x50","True","False","False","True","395171","0","VK_DOWN","↓キー"
"08/31 18:22:41.350","0x27","0x4D","True","False","False","False","395468","0","VK_RIGHT","→キー"
"08/31 18:22:41.420","0x27","0x4D","True","False","False","True","395531","0","VK_RIGHT","→キー"
"08/31 18:22:42.318","0x0D","0x1C","False","False","False","False","396437","0","VK_RETURN","Enterキー"
"08/31 18:22:42.373","0x0D","0x1C","False","False","False","True","396484","0","VK_RETURN","Enterキー"
